entailment_judgment	pair_ID	relatedness_score	sentence_A	sentence_B
		0.2	one has to separate out two elements of this - first is 'voter' and second is the difference between 'knowledge' and 'interest'.	congress tends to pass bills with language explicitly giving the president discretion over certain matters.
		0	for questions like this, i prefer the scientific and mathematical approach.	this map shows the tropical rain forest in the whole world.
		0	"if not, what is preventing ""happiness"" from being quantified, in principle?"	we use zero to represent a piece of information: that is, that there is zero of some collection.
		0.2	i know 2 explanations to such seemingly irrational behaviour in cognitive science.	@ofriraviv provided a great answer, but i thought i'd add a third alternative i am aware of for completeness.
		0.8	i agree with lauren's answer: you need highs and lows in any story.	it's pretty readable as is (aside from a few grammatical errors in the dialogues that may be intentional) - not boring.
		1.8	it depends not on which country is your home but which country offers the best exchange rates.	this varies very much depending on your country of origin and your destination.
		1.4	we use a padded bag that goes around the waist like the dreaded fanny pack.	i've been using a lowepro tlz bag clipped to the front of my pack, just above the sternum straps.
		1.4	storm front is probably the worst of the dresden books.	never read the hollows, but can answer the parts about the dresden universe.
		0	the important thing i try to remember is just to pay attention.	i have been reading on this topic since i have asked this question.
		0	in french, all the words are the same if they refer to the same animal or product.	here is a funny clip from a dramatization of a japanese class: nihonjin no shiranai nihongo episode 1 clips.
		1.2	unlike in cricket, its really hard to stop the game in between a football game.	there is no good reason for the failure to implement video plays in professional soccer.
		0	things like the swadesh list are an attempt at a vocabulary list along the lines you are talking about.	i just read about a study on this which used a fascinating methodology.
		0.6	so consider the idea that it might be your body trying to tell you something...	your mention of the weather changes brings two thoughts to mind.
		0.4	a canon at 300ppi, you have the same tonal range as an epson at 288ppi.	emprical study: extreme digital upscaling for all of the theory above, thats all it currently is...theory.
		0.6	if the child falls and cries unusually then make sure to check.	a friend told me it's when they are silent that there is a problem.
		0	the metropolitan museum of art in new york has a great page on this exact topic.	there is yet another reason why the male nude was common in greece.
		1	i finally found one of the best astrophotography articles i've ever found on the net.	i am pretty new to the astrophotography scene but i have learned fairly quickly.
		1.8	remember, from the fleet's point of view, the rest of the galaxy is what's moving and experiencing time dilation.	well, it really depends on how long he was there, and the exact speed of the fleet.
